Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes
To joke about suffering may be all in good fun but make sure a message is heard after,Humor,Somber,Witty,General,Lighthearted Moment,85,6.4,"If you plan a joke make sure you know the language first; It is always fun helping; Simulations of war may be fun, but partaking in real combat you better be sure"
It may be worthwhile to visualise or remember the feeling of true horror seldom,General,Neutral,Reflective,General,Anytime Wisdom,79,5.9,Collecting something is worthwhile if you plan on passing it on someday; True friends will take a stab for you; The most unlikely people will remember you for the longest time
Treating others with respect not always gives you respect so learn to be emotive,General,Neutral,Advisory,General,Anytime Wisdom,80,6,"Treating someone with no dignity in respect can make them ponder; Respect education, but remember also to respect hard labour; Respect other's sanctity of being"
Discipline goes a long way towards a successful battle,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,Islam practice is inductive towards great discipline; Love comes and goes many times over but a soulmate may only come once; Battle for your humanitarian rights instead of letting others abuse you
Unformed is he/she who never attempted to pursue their passion at least once,General,Neutral,Advisory,General,Anytime Wisdom,76,5.7,"Pursue your passion and not the money, and if a compromise may be found, so be it; Nature is most kind to those with a display of passion; Compare yourself to others only in a noble and just manner - lest you create envy in others"
Horded is he/she that accumulates never to see the possessions in use again,General,Neutral,Advisory,General,Anytime Wisdom,75,5.6,"I do believe certain material possessions can be taken to the afterlife - why not?; Only use superstition as a means to inspire positively the self - nothing else; Sometimes the mind serves as a better repository of history than paper, so use it"
Children are like sponges waiting to be soaked in lore by you,General,Neutral,Reflective,General,Anytime Wisdom,61,4.6,"Pets are like children, that is, raise them in negligence and dumb they may be; Pray like you mean it; Make good impressions on children because one day they will grow up with you in mind"
Philosophy is not just about words but experiencing sensations not known,General,Neutral,Reflective,General,Daily Motivation,72,5.4,"There is so much beauty in words and it is words that conquers a nation; However bad things may become, after experiencing downfall once it can all be again; If you learn how to truly understand ‘hurt' without experiencing it then do share the art"
Never forget a remembrance day to a loved one,Love,Neutral,Advisory,Relationships,Anytime Wisdom,45,3.4,"Forgive but forget not for the sake of wisdom only; Remember compliments, forget insults but only if untrue and not harmful; Make good impressions on children because one day they will grow up with you in mind"
Collecting something is worthwhile if you plan on passing it on someday,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,There is always a GREAT place for you in God's plan; If you plan a joke make sure you know the language first; It may be worthwhile to visualise or remember the feeling of true horror seldom
The best people in the world are not full of money but have character,General,Neutral,Reflective,Human Nature,Anytime Wisdom,69,5.2,"In a world of abnormalities it is best to play it safe; Pursue your passion and not the money, and if a compromise may be found, so be it; What you do not understand about this world ‘may' be for your own safety"
Do the right thing not for deity alone but because it is right,General,Neutral,Reflective,General,Anytime Wisdom,62,4.7,"All forms of government work, but to the right people; The simplest of minerals can show great beauty when sculpted right; Metopomancy is wickedly immoral but ethically fun if done right"
Help others find love that need it so,Love,Neutral,Reflective,Relationships,Anytime Wisdom,37,2.8,"Love in any form does not necessarily need verbal communication; In this new age if you truly want to reach out for help be inventive with the WWW; Learn from fear when need be, and overcome it next time"
Respect and admiration for a different culture does not label you a traitor,General,Neutral,Reflective,General,Anytime Wisdom,75,5.6,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Melodies of peaceful nature exist in every culture"
There is so much beauty and representative truth in myths of old,Truth,Serious,Reflective,Philosophy,Anytime Wisdom,64,4.8,Well told urban myths become the myths of the future; Truth is for the wise; In love only truth is fair
Spirit journeys don't need drugs; it is serendipity and want that leads you there,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,"Destined are we, but it is up to you for what in spirit; Help others find love that need it so; Don't mess with what you don't quite understand"
The ultimate measure of man stands in the face of sheer evil,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,60,4.5,The only ultimate wisdom knows to be reasonably and rationally relative; Believe in second chances if with good measure but learn from mistakes; In the face of hysteria its best to keep stern
True friends will take a stab for you,General,Neutral,Reflective,Human Nature,Anytime Wisdom,37,2.8,Without friends nothing would ever get done - ultimately...; Good friends ‘may' think alike; If true love becomes one sided it is doomed for tragedy
Some cause happiness wherever they go and some only in synchrony so planned,General,Uplifting,Reflective,General,Anytime Wisdom,75,5.6,Happiness is being in harmony; Everyone's lifetime/cycle is different - have you planned ahead?; If your cause is fair then there is always a way
A man can be happy with any woman provided all his love needs are met,Love,Neutral,Reflective,Relationships,Anytime Wisdom,69,5.2,"Be happy for others; A beer tastes better for a man if passed by a woman if the ambience is right; Higher sentience at times needs a good telling off too - man was created with the capacity to reason with them/it, and so we should"
A work of art is only truly finished upon the culmination of the artist's life complete,General,Neutral,Reflective,Life Advice,Anytime Wisdom,87,6.5,"If you learn how to truly understand ‘hurt' without experiencing it then do share the art; Every genuine artist has his/her own style; If you cannot work around the standard times, then make work suit your schedules"
Every sinner has a past and every saint a future,General,Neutral,Reflective,General,Anytime Wisdom,48,3.6,There was no sense in diversity in the past; Do not completely underestimate the wisdom from the past; With a good imagination not only can you take a guess at the future but you can shape it
It is the courage to continue that is to be admired,General,Neutral,Reflective,General,Anytime Wisdom,51,3.8,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values"
Success is realizing you are at home base and scored a homerun,General,Neutral,Reflective,General,Anytime Wisdom,62,4.7,Over kill for success is not that good; If work is your home then less mental stress follows; Success doesn't come to you; it is to be discovered by your own accord
The empires of the present are encumbered by the mind,General,Neutral,Reflective,General,Anytime Wisdom,53,4,"Empires are built by dictators, legacies by countries; Heed wisdoms of old, to console wisdoms of the present; Some creatures never cease to inspire the mind of a thinker"
Happiness is being in harmony,General,Uplifting,Reflective,General,Anytime Wisdom,29,2.2,This world would not have happiness without entertainers; If personal happiness then cherish it deeply for it may not last; Some cause happiness wherever they go and some only in synchrony so planned
The only ultimate wisdom knows to be reasonably and rationally relative,Wisdom,Neutral,Reflective,Philosophy,Daily Motivation,71,5.3,Think rationally about your funeral to be - most people are irrational; Hellraiser knows everything about pain - be him really fictional?; The ultimate measure of man stands in the face of sheer evil
There is so much beauty in words and it is words that conquers a nation,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,Expressing how you feel with words is an art that has to be well played; Philosophy is not just about words but experiencing sensations not known; I fear the power of words as it can control people without them knowing your heart
Not everyone responds to kindness,General,Neutral,Reflective,General,Anytime Wisdom,33,2.5,"Believe in the kindness and common sense of corporations that share; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason"
To build is a natural instinct in nature overcome by comfort,General,Neutral,Reflective,General,Anytime Wisdom,60,4.5,"Learn from fear when need be, and overcome it next time; Appreciating comfort foods can be started with grace; To follow a trend is just natural but to understand a trend is wisdom"
We cannot solve the problems of others if we don't know the ‘real' person,General,Neutral,Reflective,General,Daily Motivation,73,5.5,Everyone has problems; some just don't know what theirs is yet; Art does not convey much about a person on lesse you know the person; Unfortunately the police do not solve all problems of evil so spread the truth to many
Everything you hold dear to heart is a construct of society,General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,It may be realised that whatever is most dear is close by already; If you want to belong in a certain society you have to procure it with all you got; Holding dear to some celebrative days are a must for a sense of identity and integrity
Allowing music to control your senses and emotions can be hazardous,General,Neutral,Reflective,General,Anytime Wisdom,67,5,Be grateful for senses; Olfactory senses are usually underappreciated; Never let imagination control your reasoning
Better to express the idea well and risk being a fool than remain without vote,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,"Patriotism is but a stepping stone towards an idea for an identity; Everyone's idea of genuine love may differ, but similarities always persist; No man can remain unemployed for a long period, with no love, and not lose his mind"
Unexpectedness in nature is what drives life further forward in times of duress,General,Neutral,Reflective,General,Anytime Wisdom,79,5.9,"Believe in yourself, but if unable to do so at times then rely on others; Nature is most kind to those with a display of passion; If you have not seen nature in purple you are missing out"
Hell is empty and all the devils are there,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,42,3.2,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values"
Believe in the kindness and common sense of corporations that share,General,Neutral,Inspirational,General,Anytime Wisdom,67,5,Not everyone responds to kindness; There was no sense in diversity in the past; Sometimes you have to accept people for what they are as common human nature
Never underestimate the power of dreams,Dreams,Reflective,Advisory,Creativity,Evening Reflection,39,2.9,"Dreams are not prophetic, they are inductive; Don't ever underestimate the might of agility; Do not completely underestimate the wisdom from the past"
We can appreciate food better if we know what we are eating,General,Neutral,Reflective,General,Daily Motivation,59,4.4,Believe only those that give all the indication to know better to you; Food tastes better when passionate emotions are used in the making; Appreciate good fortune when it comes to you
If you have not seen nature in purple you are missing out,General,Neutral,Reflective,General,Anytime Wisdom,57,4.3,Being original is not always seen as favourable; There is no sense in persecution of a faith that may essentially be seen as roleplaying; Nature is most kind to those with a display of passion
Favouritism will only get you so far but it gives you identity,Identity,Neutral,Reflective,General,Anytime Wisdom,62,4.7,"Grow to love your identity; Devotion to a cause gives one purpose like none other; There is nothing wrong with preparing too far ahead, but be prepared for deviation"
If you want to belong in a certain society you have to procure it with all you got,General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,Everything you hold dear to heart is a construct of society; Most people want to work - there are always jobs with a good government; Death is no easy way out as the afterlife is never certain as such
There is always a place for you in a story,General,Neutral,Advisory,General,Anytime Wisdom,42,3.2,"There is always a GREAT place for you in God's plan; Even the most unlikely individuals do too have a story to tell; A story is never truly told, on lesse the legacy be known"
Advanced philosophy is an adult's game so keep it away from children,General,Neutral,Reflective,General,Anytime Wisdom,68,5.1,If you fail to love but at least one aspect of yourself you may wither away; Philosophy is not just about words but experiencing sensations not known; Make good impressions on children because one day they will grow up with you in mind
Revenge in the workplace can only be accomplished through competency,General,Neutral,Reflective,Life Advice,Anytime Wisdom,68,5.1,Revenge is not only a tool for the wicked; A competitive workplace is hazardous when members differ in skills; Compare yourself to others only in a noble and just manner - lest you create envy in others
Embrace technology but relish simplicity,General,Neutral,Reflective,General,Anytime Wisdom,40,3,"Embrace A.I. - think!; Genuine travellers seek to relish most of it all; Be open to new ideas, but do not openly embrace anything without some skepticism"
Infinity explained; just look at a coffee mug and think,General,Neutral,Reflective,General,Anytime Wisdom,55,4.1,"If you think your experience is unique, think again, you are only human; Always look a gift vehicle under the bonnet; Embrace A.I. - think!"
If you have nothing good to say about someone then heed his/her plea,General,Neutral,Reflective,General,Anytime Wisdom,68,5.1,"Heed wisdoms of old, to console wisdoms of the present; Get in the habit of doing some good deeds every once in a while at least - good happens; Never give up the faith in good deeds"
To gaze upon something is to show appreciation but to do it on people can label you desperate,General,Neutral,Reflective,Human Nature,Anytime Wisdom,93,7,"When you associate history, imagery, and label to a food it can alter our appreciation of it; Respect and admiration for a different culture does not label you a traitor; Being humble enhances the appreciation for the finer things - all in time"
The most unlikely people will remember you for the longest time,General,Neutral,Reflective,Human Nature,Anytime Wisdom,63,4.7,"Even the most unlikely individuals do too have a story to tell; If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key; Time and time again I watch individuals bully others with none intervening - why?"
We are made of blackstuff,General,Neutral,Reflective,General,Anytime Wisdom,25,1.9,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values"
In every lifetime you may be so lucky to witness pride and arrogance of royalty partake in warfare - make the best of such instances,General,Neutral,Reflective,General,Anytime Wisdom,132,9.9,Scalp hair is such a beautiful gift to some so make the best out of it; Everyone's lifetime/cycle is different - have you planned ahead?; If bored try to make it an objective to make someone happy and see how that feels
Cling to your dignity otherwise you shall become generic,General,Neutral,Reflective,General,Anytime Wisdom,56,4.2,Treating someone with no dignity in respect can make them ponder; If anything can go wrong rest assured it shall not always or ever be so; Once a lesson is learnt it is not always warranted a mistake shall not be repeated
A good imagination is the best escape from poverty,General,Neutral,Reflective,Creativity,Anytime Wisdom,50,3.8,With a good imagination not only can you take a guess at the future but you can shape it; Imagination well used may be better than reading a good book; You may not realise the face of poverty until it comes to you
"Isolation fosters happiness to some, but misleading is this to those that understand not the incumbent's true hidden psyche",General,Uplifting,Reflective,General,Anytime Wisdom,123,9.2,Happiness is being in harmony; Happiness arises when one frees him/herself from worries - worry not about imperfections and instead capitalize on the true beauty of them; True friends will take a stab for you
Having an idol is merely associating your identity to the admiration of another,Identity,Neutral,Reflective,General,Anytime Wisdom,79,5.9,If you loathe an idol try to understand why others love him/her so dearly; Grow to love your identity; Respect and admiration for a different culture does not label you a traitor
When all science one day gets defined philosophy will erupt into story telling,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,There is always a place for you in a story; If someone has been telling you his/her same problems for years then do something; The world is strange as no one gets envious if you are last
The devil in you seeks power for your own pleasure,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,50,3.8,Never underestimate the power of dreams; Believe in the power of good because there is not much else to rely on; War for power never works
It is awareness of the appreciation of the tiniest things in one that builds kinship,General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,Being humble enhances the appreciation for the finer things - all in time; Wars occur over the tiniest conflicts; Persistence is not always a good choice but it builds character
Thinking of profanity can be dehumanizing,General,Neutral,Reflective,General,Anytime Wisdom,41,3.1,Overanalysing is dehumanizing to most; Hilarity and humour is dehumanizing if done to excess; Thinking the world as a pyramid in power will lead to hurt
Believe in the Jack,General,Neutral,Inspirational,General,Anytime Wisdom,19,1.4,"Believe only those that give all the indication to know better to you; Believe in the power of good because there is not much else to rely on; Believe in yourself, but if unable to do so at times then rely on others"
Stupid things we do can turn into great tales,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,Just because someone doesn't work does not mean they are stupid; Grown up fairy tales can be understood on so many different levels; Never encourage stupid behaviour unless certain of its good benefits
Learning from mistakes cuts short one side of our life,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,Learning without thought means hardship is spared - thought without learning is circular; Senryu truly ought never be too short; Learning from history is the quickest way to wisdom
Trust in the Irishman when he assaults your partner,General,Neutral,Reflective,General,Anytime Wisdom,51,3.8,Never fully trust someone without noble values; Trust your intuition above others if better educated and life experienced; Compare yourself to others only in a noble and just manner - lest you create envy in others
"However bad things may become, after experiencing downfall once it can all be again",General,Neutral,Reflective,General,Anytime Wisdom,83,6.2,If things feel bad realize worse emotions exist; Philosophy is not just about words but experiencing sensations not known; If you learn how to truly understand ‘hurt' without experiencing it then do share the art
Never let imagination control your reasoning,General,Neutral,Advisory,Creativity,Anytime Wisdom,44,3.3,"Do not let superstition control your life, instead learn to appreciate it; A good imagination is the best escape from poverty; With a good imagination not only can you take a guess at the future but you can shape it"
A bully is usually very well remembered and tainted - challenged are they,General,Neutral,Reflective,General,Anytime Wisdom,73,5.5,A noble belief is usually for a good cause; Olfactory senses are usually underappreciated; Time and time again I watch individuals bully others with none intervening - why?
Ils ne passeront pas!,General,Neutral,Reflective,General,Anytime Wisdom,21,1.6,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values"
Respect for the decease is greatly gained by familiarity of the incumbent,General,Neutral,Reflective,General,Anytime Wisdom,73,5.5,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Respect other's sanctity of being"
Ynough! Ynow!,General,Neutral,Reflective,General,Daily Motivation,13,1,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values"
Speak highly of your friends because it reflect your own self ultimately,General,Neutral,Reflective,Human Nature,Evening Reflection,72,5.4,Without friends nothing would ever get done - ultimately...; True friends will take a stab for you; Good friends ‘may' think alike
An assortment of folderals can instil a particular aura of character,General,Neutral,Reflective,General,Anytime Wisdom,68,5.1,The best people in the world are not full of money but have character; Persistence is not always a good choice but it builds character; Deforming your innate character for the better will add a history of hurt
"Write or read, but at least a bit a day, for it fosters creativity",General,Neutral,Reflective,General,Anytime Wisdom,66,5,"Some individuals are easy to read, others impossible, either way familiarisation is a must; Don't believe everything you read but don't mock just about everything either; Classical poetry is devoid of creativity simply because we grow accustomed to it"
Vendettas are useless when quarantine is better,General,Neutral,Reflective,General,Anytime Wisdom,47,3.5,"Paranoia is useless, it is called being cautious - learn to communicate and it goes away; Believe only those that give all the indication to know better to you; We can appreciate food better if we know what we are eating"
If you learn how to truly understand ‘hurt' without experiencing it then do share the art,General,Neutral,Reflective,General,Anytime Wisdom,89,6.7,Art is now a luxury of which all can afford but still few understand; Learn what reason is; A work of art is only truly finished upon the culmination of the artist's life complete
"It is a valuable lesson to ponder deeply about the value of humanity, and what is not",General,Neutral,Reflective,General,Anytime Wisdom,85,6.4,"You may not think yourself evil, but ponder every time you put yourself ahead; Understanding the value of sentience gives us something to fight for; Treating someone with no dignity in respect can make them ponder"
"Relinquish not your desired identity, and instead improve on it when you can",Identity,Neutral,Reflective,General,Anytime Wisdom,76,5.7,Grow to love your identity; If you seek something but cannot find then try asking instead; Try not to worry but strive for your identity
Art is now a luxury of which all can afford but still few understand,General,Neutral,Reflective,General,Daily Motivation,68,5.1,"If you learn how to truly understand ‘hurt' without experiencing it then do share the art; Art is an aphrodisiac of the soul; Eating together on one table, as a family, is a luxury a wide number do not have"
Spread happiness everywhere you go and if incapable than at least do something nice,General,Uplifting,Reflective,General,Anytime Wisdom,83,6.2,Happiness is being in harmony; If incapable to make a difference project your sheer spirit; This world would not have happiness without entertainers
A habit well developed can lead you places,General,Neutral,Reflective,General,Anytime Wisdom,42,3.2,Abusing anything too much will lead to hazards; Get in the habit of doing some good deeds every once in a while at least - good happens; Thinking the world as a pyramid in power will lead to hurt
Keep in communication with your family because people change fast,General,Neutral,Reflective,Human Nature,Anytime Wisdom,65,4.9,"Fast food ought to be just that, fast; Eating together on one table, as a family, is a luxury a wide number do not have; The inner being may be hard to change, in some cases impossible"
If someone behaves ‘strangely' don't just get others involved but check them over time,General,Neutral,Reflective,General,Anytime Wisdom,86,6.5,Don't believe everything you read but don't mock just about everything either; Everyone has problems; some just don't know what theirs is yet; Don't mess with what you don't quite understand
If injured by accident don't lay a guilt trip,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,"Don't mess with what you don't quite understand; Don't believe everything you read but don't mock just about everything either; All accidents are caused, on lesse an accident happen"
Art is an aphrodisiac of the soul,General,Neutral,Reflective,General,Spiritual Prompt,33,2.5,"Of course some genes may ‘seem' better, but what of mind, spirit, and soul; Art is now a luxury of which all can afford but still few understand; Expressing how you feel with words is an art that has to be well played"
Social networks are useful to let others reach out to you,General,Neutral,Reflective,Life Advice,Anytime Wisdom,57,4.3,If it is imperative that you reach someone then be sure there is always a way; Well placed social catalysts can stop all wars; Learn to ‘let go' when time mandates it so
A great deal can be learnt from alternative faiths,Faith,Neutral,Inspirational,Spirituality,Anytime Wisdom,50,3.8,Once a lesson is learnt it is not always warranted a mistake shall not be repeated; So much joy in faiths that are good hearted provided you believe and fit in it; With many alternative therapies for mental ailments; the trick is finding one that fits you
"It is fun to pick on stereotypes and clashes of cultures, but its best to be mindful",Humor,Neutral,Reflective,General,Lighthearted Moment,84,6.3,"It is always fun helping; Racial equality would eliminate most beauty stereotypes; Stereotypes are mostly erroneous and leads to demise, on lesse you get psychological"
"No man can remain unemployed for a long period, with no love, and not lose his mind",Love,Neutral,Reflective,Relationships,Anytime Wisdom,83,6.2,A man can be happy with any woman provided all his love needs are met; Better to express the idea well and risk being a fool than remain without vote; The empires of the present are encumbered by the mind
Devotion to a cause gives one purpose like none other,General,Neutral,Reflective,General,Anytime Wisdom,53,4,How daft does someone have to be to live without purpose?; Pray like you mean it; If your cause is fair then there is always a way
Sport can only truly be enjoyed if one has friends who are eager for it also,General,Uplifting,Reflective,Human Nature,Anytime Wisdom,76,5.7,Without friends nothing would ever get done - ultimately...; True friends will take a stab for you; Good friends ‘may' think alike
Think deeply at the number of close friends you have and now realise how isolated you are within the context of the whole wide world,General,Neutral,Reflective,Human Nature,Daily Motivation,132,9.9,"Eating together on one table, as a family, is a luxury a wide number do not have; Good friends ‘may' think alike; Without friends nothing would ever get done - ultimately..."
In this new age if you truly want to reach out for help be inventive with the WWW,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,Help others find love that need it so; If you reach dire old age you still do have a chance to travel in style - worry not if unable; You can't learn something new from just about anything
"Bigotry against someone for using drugs, what utter stupidity! But addiction is a worry.",General,Neutral,Reflective,General,Anytime Wisdom,88,6.6,"Try not to worry but strive for your identity; Life in fame is utter damnation to the wise, but if you are smart...; Spirit journeys don't need drugs; it is serendipity and want that leads you there"
Don't let anyone walk all over you and if altruist at heart resort to the philosophy of ethics,General,Neutral,Reflective,General,Anytime Wisdom,94,7.1,Don't mess with what you don't quite understand; Don't believe everything you read but don't mock just about everything either; Learn to ‘let go' when time mandates it so
Be happy for those that foster trouble free lives,General,Neutral,Reflective,General,Anytime Wisdom,49,3.7,"Be happy for others; In no cooperation, we as a species, cannot foster; Be respectful to other's religions provided they are free from genuine evil"
"Fast food ought to be just that, fast",General,Neutral,Reflective,General,Anytime Wisdom,37,2.8,Keep in communication with your family because people change fast; We can appreciate food better if we know what we are eating; Senryu truly ought never be too short
It may be realised that whatever is most dear is close by already,General,Neutral,Reflective,General,Anytime Wisdom,65,4.9,Everything you hold dear to heart is a construct of society; Holding dear to some celebrative days are a must for a sense of identity and integrity; Think deeply at the number of close friends you have and now realise how isolated you are within the context of the whole wide world
Prune and perfect friendships and don't simply discard,General,Neutral,Reflective,Human Nature,Anytime Wisdom,54,4.1,Good friendships cannot be bought; The most perfect individuals are often unknown; Don't mess with what you don't quite understand
Hesitating is a common nature in all as an act of self preservation,General,Neutral,Reflective,General,Anytime Wisdom,67,5,Sometimes you have to accept people for what they are as common human nature; Believe in the kindness and common sense of corporations that share; The representation of the self is aligned with the surroundings
Mental conditioning is a process best started young,General,Neutral,Reflective,General,Anytime Wisdom,51,3.8,Mental conditioning is best done by oneself with reason; Contemplate over the death of individuals and in the process rediscover yourself; Hypnosis is a silly thing to be paranoid about - but when young...
Stalkers ought to make an attempt to talk to their victims,General,Neutral,Reflective,General,Anytime Wisdom,58,4.4,"If someone younger than you disrespects you do attempt to regain their respect; Sure, there is talk about many known secret societies, but what of the unknown?; Senryu truly ought never be too short"
"No matter how boring your life is, well told it would be a masterpiece",General,Neutral,Reflective,General,Anytime Wisdom,70,5.3,There is no reason to lie with a truth well told; The presence of misery cannot be told by sight alone; Once someone told me to think laterally so I turned my head to the side
If incapable to make a difference project your sheer spirit,General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,"Destined are we, but it is up to you for what in spirit; Spread happiness everywhere you go and if incapable than at least do something nice; Skin colour makes no difference in heart"
At least once in your life you have to try a freshly made hot Croissant,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,Try not to worry but strive for your identity; If you seek something but cannot find then try asking instead; If current times are hard try something fun
"Life in fame is utter damnation to the wise, but if you are smart...",General,Neutral,Reflective,General,Anytime Wisdom,68,5.1,Truth is for the wise; Not many can handle fame well; A genuine philosopher is wise
Once you survive rock bottom the world looks different,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,Life looks better when good deeds are done with no ill malice; What you do not understand about this world ‘may' be for your own safety; This world would not have happiness without entertainers
"Every person has the right to treat their body as they want, but not uninformed in total",General,Neutral,Reflective,General,Anytime Wisdom,88,6.6,Do the right thing not for deity alone but because it is right; Art does not convey much about a person on lesse you know the person; Most people want to work - there are always jobs with a good government
Dispassionate speakers do not inspire,General,Neutral,Advisory,General,Anytime Wisdom,37,2.8,Some creatures never cease to inspire the mind of a thinker; Only use superstition as a means to inspire positively the self - nothing else; Compare yourself to others only in a noble and just manner - lest you create envy in others
A four colour BIC pen can indulge a child in so many ways,General,Neutral,Reflective,General,Anytime Wisdom,57,4.3,"Skin colour makes no difference in heart; Never diss someone's favourite food, but maybe indulge them in yours; There are better ways to indicate your fidelity than wearing a ring"
Fashion can be contrary to good taste,General,Neutral,Reflective,General,Anytime Wisdom,37,2.8,Get in the habit of doing some good deeds every once in a while at least - good happens; Never give up the faith in good deeds; Respect the good accomplishment of others
Effeminate behaviour in men is an indication of severe hardship,General,Neutral,Reflective,General,Anytime Wisdom,63,4.7,Believe only those that give all the indication to know better to you; The hearts of men are swayed by noble ideals; Relationships with committed individuals always lead to severe hurt
If you fail to love but at least one aspect of yourself you may wither away,Love,Neutral,Reflective,Relationships,Anytime Wisdom,75,5.6,"If you fail to see an afterlife, or better times to be, reason quick for you are in the wrong; Advanced philosophy is an adult's game so keep it away from children; Paranoia is useless, it is called being cautious - learn to communicate and it goes away"
Life may get more complex with intellect,General,Neutral,Reflective,General,Anytime Wisdom,40,3,"Too much education may make you blind to life itself; Immortality can only be achieved through eudaimonia alone - in whatever life; No matter how boring your life is, well told it would be a masterpiece"
Giving a personal name to something develops an associative bond - even an object,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,"If personal happiness then cherish it deeply for it may not last; Once you define your personal Nirvana, incrementally you can design your future; Compare yourself to others only in a noble and just manner - lest you create envy in others"
"If you see a baker deplanate his dough with precision, then you know he loves his work",Love,Neutral,Reflective,Relationships,Daily Motivation,86,6.5,"Not everyone is the same in work ethic, but we are similar enough to know a best way; If you cannot work around the standard times, then make work suit your schedules; All forms of government work, but to the right people"
Be grateful for awards,General,Neutral,Reflective,General,Anytime Wisdom,22,1.7,Be grateful for senses; Routines are luxuries in which not all have - so be grateful; Compare yourself to others only in a noble and just manner - lest you create envy in others
Over kill for success is not that good,General,Neutral,Reflective,General,Anytime Wisdom,38,2.9,Success doesn't come to you; it is to be discovered by your own accord; Success is realizing you are at home base and scored a homerun; Get in the habit of doing some good deeds every once in a while at least - good happens
There is no poetry in vulgarity but sagely contemplation of evil,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,64,4.8,"If it has deep meaning it is poetry; Evil's greatest fallacy is its capacity to feel love - true evil feels none so be very beware; You may not think yourself evil, but ponder every time you put yourself ahead"
Ruthlessness may be a tell tale sign of early trauma,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,The ability to sympathize with and for others is a tell tale mark of intelligence; Even the most unlikely individuals do too have a story to tell; If someone commits evil believe in redemption but if no sign of hope then no mercy
There are perks at every job; you just have to learn how to find them,General,Neutral,Reflective,Life Advice,Anytime Wisdom,69,5.2,"You can't learn something new from just about anything; Learn what reason is; Any job is an art form, it just has to be appreciated and emotionally expressed"
Good advertising does not sell everything if the product does not live up to expectations,General,Neutral,Reflective,General,Anytime Wisdom,89,6.7,"How daft does someone have to be to live without purpose?; Celibacy does not entirely define a virgin completely, inclusion of the heart does; Arational is he that does not think ahead"
It is always fun helping,Humor,Neutral,Advisory,General,Lighthearted Moment,24,1.8,"If current times are hard try something fun; There is no shame in living a life of plenty, however not helping others when in position - major shame; Just a little bit of money in the right hands can save lives - start by helping those close"
Don't play deadly games on lesse you are fully mature and a complete grownup,General,Neutral,Reflective,General,Anytime Wisdom,76,5.7,Don't mess with what you don't quite understand; In a world of abnormalities it is best to play it safe; Don't believe everything you read but don't mock just about everything either
Modern day love poetry may convey feelings mixed with humour and truth,"Love, Truth",Serious,Reflective,Philosophy,Anytime Wisdom,70,5.3,In love only truth is fair; Truth is for the wise; Cheating with humour may be ethical
I fear the power of words as it can control people without them knowing your heart,Fear,Neutral,Reflective,Human Nature,Daily Motivation,82,6.2,"There is so much beauty in words and it is words that conquers a nation; Learn from fear when need be, and overcome it next time; Never underestimate the power of dreams"
If true love becomes one sided it is doomed for tragedy,Love,Neutral,Reflective,Relationships,Anytime Wisdom,55,4.1,True friends will take a stab for you; Evil's greatest fallacy is its capacity to feel love - true evil feels none so be very beware; Grow to love your identity
