Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes,Related Bible Passage (KJV),KJV Reference
Discipline goes a long way towards a successful battle,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,Islam practice is inductive towards great discipline; Love comes and goes many times over but a soulmate may only come once; Battle for your humanitarian rights instead of letting others abuse you,"I have fought a good fight, I have finished my course, I have kept the faith:",II Timothy 4:7
Unformed is he/she who never attempted to pursue their passion at least once,General,Neutral,Advisory,General,Anytime Wisdom,76,5.7,"Pursue your passion and not the money, and if a compromise may be found, so be it; Nature is most kind to those with a display of passion; Compare yourself to others only in a noble and just manner - lest you create envy in others","But have walked after the imagination of their own heart, and after Baalim, which their fathers taught them:",Jeremiah 9:14
Horded is he/she that accumulates never to see the possessions in use again,General,Neutral,Advisory,General,Anytime Wisdom,75,5.6,"I do believe certain material possessions can be taken to the afterlife - why not?; Only use superstition as a means to inspire positively the self - nothing else; Sometimes the mind serves as a better repository of history than paper, so use it",The lot is cast into the lap; but the whole disposing thereof is of the Lord. ,Proverbs 16:33
Children are like sponges waiting to be soaked in lore by you,General,Neutral,Reflective,General,Anytime Wisdom,61,4.6,"Pets are like children, that is, raise them in negligence and dumb they may be; Pray like you mean it; Make good impressions on children because one day they will grow up with you in mind","Your little ones, your wives, and thy stranger that is in thy camp, from the hewer of thy wood unto the drawer of thy water:",Deuteronomy 29:11
Philosophy is not just about words but experiencing sensations not known,General,Neutral,Reflective,General,Daily Motivation,72,5.4,"There is so much beauty in words and it is words that conquers a nation; However bad things may become, after experiencing downfall once it can all be again; If you learn how to truly understand ‘hurt' without experiencing it then do share the art","That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked upon, and our hands have handled, of the Word of life;",I John 1:1
Never forget a remembrance day to a loved one,Love,Neutral,Advisory,Relationships,Anytime Wisdom,45,3.4,"Forgive but forget not for the sake of wisdom only; Remember compliments, forget insults but only if untrue and not harmful; Make good impressions on children because one day they will grow up with you in mind","I thank my God upon every remembrance of you,",Philippians 1:3
Collecting something is worthwhile if you plan on passing it on someday,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,There is always a GREAT place for you in God's plan; If you plan a joke make sure you know the language first; It may be worthwhile to visualise or remember the feeling of true horror seldom,Not because I desire a gift: but I desire fruit that may abound to your account.,Philippians 4:17
The best people in the world are not full of money but have character,General,Neutral,Reflective,Human Nature,Anytime Wisdom,69,5.2,"In a world of abnormalities it is best to play it safe; Pursue your passion and not the money, and if a compromise may be found, so be it; What you do not understand about this world ‘may' be for your own safety","There is that maketh himself rich, yet hath nothing: there is that maketh himself poor, yet hath great riches.",Proverbs 13:7
Do the right thing not for deity alone but because it is right,General,Neutral,Reflective,General,Anytime Wisdom,62,4.7,"All forms of government work, but to the right people; The simplest of minerals can show great beauty when sculpted right; Metopomancy is wickedly immoral but ethically fun if done right",What shall we say then? Is there unrighteousness with God? God forbid.,Romans 9:14
Help others find love that need it so,Love,Neutral,Reflective,Relationships,Anytime Wisdom,37,2.8,"Love in any form does not necessarily need verbal communication; In this new age if you truly want to reach out for help be inventive with the WWW; Learn from fear when need be, and overcome it next time","For I am poor and needy, and my heart is wounded within me.",Psalms 109:22
Respect and admiration for a different culture does not label you a traitor,General,Neutral,Reflective,General,Anytime Wisdom,75,5.6,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Melodies of peaceful nature exist in every culture",To have respect of persons is not good: for for a piece of bread that man will transgress.,Proverbs 28:21
There is so much beauty and representative truth in myths of old,Truth,Serious,Reflective,Philosophy,Anytime Wisdom,64,4.8,Well told urban myths become the myths of the future; Truth is for the wise; In love only truth is fair,"Knowest thou not this of old, since man was placed upon earth,",Job 20:4
Spirit journeys don't need drugs; it is serendipity and want that leads you there,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,"Destined are we, but it is up to you for what in spirit; Help others find love that need it so; Don't mess with what you don't quite understand","If we live in the Spirit, let us also walk in the Spirit.",Galatians 5:25
The ultimate measure of man stands in the face of sheer evil,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,60,4.5,The only ultimate wisdom knows to be reasonably and rationally relative; Believe in second chances if with good measure but learn from mistakes; In the face of hysteria its best to keep stern,Be not hasty to go out of his sight: stand not in an evil thing; for he doeth whatsoever pleaseth him.,Ecclesiastes 8:3
True friends will take a stab for you,General,Neutral,Reflective,Human Nature,Anytime Wisdom,37,2.8,Without friends nothing would ever get done - ultimately...; Good friends ‘may' think alike; If true love becomes one sided it is doomed for tragedy,"Trust ye not in a friend, put ye not confidence in a guide: keep the doors of thy mouth from her that lieth in thy bosom.",Micah 7:5
Some cause happiness wherever they go and some only in synchrony so planned,General,Uplifting,Reflective,General,Anytime Wisdom,75,5.6,Happiness is being in harmony; Everyone's lifetime/cycle is different - have you planned ahead?; If your cause is fair then there is always a way,"Happy is the man that findeth wisdom, and the man that getteth understanding.",Proverbs 3:13
A man can be happy with any woman provided all his love needs are met,Love,Neutral,Reflective,Relationships,Anytime Wisdom,69,5.2,"Be happy for others; A beer tastes better for a man if passed by a woman if the ambience is right; Higher sentience at times needs a good telling off too - man was created with the capacity to reason with them/it, and so we should","Happy is the man that findeth wisdom, and the man that getteth understanding.",Proverbs 3:13
A work of art is only truly finished upon the culmination of the artist's life complete,General,Neutral,Reflective,Life Advice,Anytime Wisdom,87,6.5,"If you learn how to truly understand ‘hurt' without experiencing it then do share the art; Every genuine artist has his/her own style; If you cannot work around the standard times, then make work suit your schedules","And further, by these, my son, be admonished: of making many books there is no end; and much study is a weariness of the flesh.",Ecclesiastes 12:12
Every sinner has a past and every saint a future,General,Neutral,Reflective,General,Anytime Wisdom,48,3.6,There was no sense in diversity in the past; Do not completely underestimate the wisdom from the past; With a good imagination not only can you take a guess at the future but you can shape it,Evil pursueth sinners: but to the righteous good shall be repayed.,Proverbs 13:21
It is the courage to continue that is to be admired,General,Neutral,Reflective,General,Anytime Wisdom,51,3.8,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values","Wait on the Lord: be of good courage, and he shall strengthen thine heart: wait, I say, on the Lord. ",Psalms 27:14
Success is realizing you are at home base and scored a homerun,General,Neutral,Reflective,General,Anytime Wisdom,62,4.7,Over kill for success is not that good; If work is your home then less mental stress follows; Success doesn't come to you; it is to be discovered by your own accord,"And the ten bases, and ten lavers on the bases;",I Kings 7:43
The empires of the present are encumbered by the mind,General,Neutral,Reflective,General,Anytime Wisdom,53,4.0,"Empires are built by dictators, legacies by countries; Heed wisdoms of old, to console wisdoms of the present; Some creatures never cease to inspire the mind of a thinker",Which imagine mischiefs in their heart; continually are they gathered together for war.,Psalms 140:2
Happiness is being in harmony,General,Uplifting,Reflective,General,Anytime Wisdom,29,2.2,This world would not have happiness without entertainers; If personal happiness then cherish it deeply for it may not last; Some cause happiness wherever they go and some only in synchrony so planned,"Happy is the man that findeth wisdom, and the man that getteth understanding.",Proverbs 3:13
The only ultimate wisdom knows to be reasonably and rationally relative,Wisdom,Neutral,Reflective,Philosophy,Daily Motivation,71,5.3,Think rationally about your funeral to be - most people are irrational; Hellraiser knows everything about pain - be him really fictional?; The ultimate measure of man stands in the face of sheer evil,But where shall wisdom be found? and where is the place of understanding?,Job 28:12
There is so much beauty in words and it is words that conquers a nation,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,Expressing how you feel with words is an art that has to be well played; Philosophy is not just about words but experiencing sensations not known; I fear the power of words as it can control people without them knowing your heart,"Lo, I will bring a nation upon you from far, O house of Israel, saith the Lord: it is a mighty nation, it is an ancient nation, a nation whose language thou knowest not, neither understandest what they say.",Jeremiah 5:15
Not everyone responds to kindness,General,Neutral,Reflective,General,Anytime Wisdom,33,2.5,"Believe in the kindness and common sense of corporations that share; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason","And now the Lord shew kindness and truth unto you: and I also will requite you this kindness, because ye have done this thing.",II Samuel 2:6
To build is a natural instinct in nature overcome by comfort,General,Neutral,Reflective,General,Anytime Wisdom,60,4.5,"Learn from fear when need be, and overcome it next time; Appreciating comfort foods can be started with grace; To follow a trend is just natural but to understand a trend is wisdom","According to the grace of God which is given unto me, as a wise masterbuilder, I have laid the foundation, and another buildeth thereon. But let every man take heed how he buildeth thereupon.",I Corinthians 3:10
We cannot solve the problems of others if we don't know the ‘real' person,General,Neutral,Reflective,General,Daily Motivation,73,5.5,Everyone has problems; some just don't know what theirs is yet; Art does not convey much about a person on lesse you know the person; Unfortunately the police do not solve all problems of evil so spread the truth to many,"For my people is foolish, they have not known me; they are sottish children, and they have none understanding: they are wise to do evil, but to do good they have no knowledge.",Jeremiah 4:22
Everything you hold dear to heart is a construct of society,General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,It may be realised that whatever is most dear is close by already; If you want to belong in a certain society you have to procure it with all you got; Holding dear to some celebrative days are a must for a sense of identity and integrity,"For where your treasure is, there will your heart be also.",Matthew 6:21
Allowing music to control your senses and emotions can be hazardous,General,Neutral,Reflective,General,Anytime Wisdom,67,5.0,Be grateful for senses; Olfactory senses are usually underappreciated; Never let imagination control your reasoning,A sound heart is the life of the flesh: but envy the rottenness of the bones.,Proverbs 14:30
Better to express the idea well and risk being a fool than remain without vote,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,"Patriotism is but a stepping stone towards an idea for an identity; Everyone's idea of genuine love may differ, but similarities always persist; No man can remain unemployed for a long period, with no love, and not lose his mind","Wherefore the rather, brethren, give diligence to make your calling and election sure: for if ye do these things, ye shall never fall:",II Peter 1:10
Unexpectedness in nature is what drives life further forward in times of duress,General,Neutral,Reflective,General,Anytime Wisdom,79,5.9,"Believe in yourself, but if unable to do so at times then rely on others; Nature is most kind to those with a display of passion; If you have not seen nature in purple you are missing out","As unknown, and yet well known; as dying, and, behold, we live; as chastened, and not killed;",II Corinthians 6:9
Hell is empty and all the devils are there,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,42,3.2,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values",Neither give place to the devil.,Ephesians 4:27
Believe in the kindness and common sense of corporations that share,General,Neutral,Inspirational,General,Anytime Wisdom,67,5.0,Not everyone responds to kindness; There was no sense in diversity in the past; Sometimes you have to accept people for what they are as common human nature,"That they do good, that they be rich in good works, ready to distribute, willing to communicate;",I Timothy 6:18
Never underestimate the power of dreams,Dreams,Reflective,Advisory,Creativity,Evening Reflection,39,2.9,"Dreams are not prophetic, they are inductive; Don't ever underestimate the might of agility; Do not completely underestimate the wisdom from the past","In a dream, in a vision of the night, when deep sleep falleth upon men, in slumberings upon the bed;",Job 33:15
We can appreciate food better if we know what we are eating,General,Neutral,Reflective,General,Daily Motivation,59,4.4,Believe only those that give all the indication to know better to you; Food tastes better when passionate emotions are used in the making; Appreciate good fortune when it comes to you,And having food and raiment let us be therewith content.,I Timothy 6:8
If you have not seen nature in purple you are missing out,General,Neutral,Reflective,General,Anytime Wisdom,57,4.3,Being original is not always seen as favourable; There is no sense in persecution of a faith that may essentially be seen as roleplaying; Nature is most kind to those with a display of passion,"Then I beheld, and lo a likeness as the appearance of fire: from the appearance of his loins even downward, fire; and from his loins even upward, as the appearance of brightness, as the colour of amber.",Ezekiel 8:2
Favouritism will only get you so far but it gives you identity,Identity,Neutral,Reflective,General,Anytime Wisdom,62,4.7,"Grow to love your identity; Devotion to a cause gives one purpose like none other; There is nothing wrong with preparing too far ahead, but be prepared for deviation","Favour is deceitful, and beauty is vain: but a woman that feareth the Lord, she shall be praised.",Proverbs 31:30
If you want to belong in a certain society you have to procure it with all you got,General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,Everything you hold dear to heart is a construct of society; Most people want to work - there are always jobs with a good government; Death is no easy way out as the afterlife is never certain as such,"Moreover of the children of the strangers that do sojourn among you, of them shall ye buy, and of their families that are with you, which they begat in your land: and they shall be your possession.",Leviticus 25:45
There is always a place for you in a story,General,Neutral,Advisory,General,Anytime Wisdom,42,3.2,"There is always a GREAT place for you in God's plan; Even the most unlikely individuals do too have a story to tell; A story is never truly told, on lesse the legacy be known","Where no wood is, there the fire goeth out: so where there is no talebearer, the strife ceaseth.",Proverbs 26:20
Advanced philosophy is an adult's game so keep it away from children,General,Neutral,Reflective,General,Anytime Wisdom,68,5.1,If you fail to love but at least one aspect of yourself you may wither away; Philosophy is not just about words but experiencing sensations not known; Make good impressions on children because one day they will grow up with you in mind,"Even a child is known by his doings, whether his work be pure, and whether it be right.",Proverbs 20:11
Revenge in the workplace can only be accomplished through competency,General,Neutral,Reflective,Life Advice,Anytime Wisdom,68,5.1,Revenge is not only a tool for the wicked; A competitive workplace is hazardous when members differ in skills; Compare yourself to others only in a noble and just manner - lest you create envy in others,"And having in a readiness to revenge all disobedience, when your obedience is fulfilled.",II Corinthians 10:6
Embrace technology but relish simplicity,General,Neutral,Reflective,General,Anytime Wisdom,40,3.0,"Embrace A.I. - think!; Genuine travellers seek to relish most of it all; Be open to new ideas, but do not openly embrace anything without some skepticism","How long, ye simple ones, will ye love simplicity? and the scorners delight in their scorning, and fools hate knowledge?",Proverbs 1:22
Infinity explained; just look at a coffee mug and think,General,Neutral,Reflective,General,Anytime Wisdom,55,4.1,"If you think your experience is unique, think again, you are only human; Always look a gift vehicle under the bonnet; Embrace A.I. - think!",Is not thy wickedness great? and thine iniquities infinite?,Job 22:5
If you have nothing good to say about someone then heed his/her plea,General,Neutral,Reflective,General,Anytime Wisdom,68,5.1,"Heed wisdoms of old, to console wisdoms of the present; Get in the habit of doing some good deeds every once in a while at least - good happens; Never give up the faith in good deeds","Open thy mouth, judge righteously, and plead the cause of the poor and needy.",Proverbs 31:9
To gaze upon something is to show appreciation but to do it on people can label you desperate,General,Neutral,Reflective,Human Nature,Anytime Wisdom,93,7.0,"When you associate history, imagery, and label to a food it can alter our appreciation of it; Respect and admiration for a different culture does not label you a traitor; Being humble enhances the appreciation for the finer things - all in time","But we, brethren, being taken from you for a short time in presence, not in heart, endeavoured the more abundantly to see your face with great desire.",I Thessalonians 2:17
The most unlikely people will remember you for the longest time,General,Neutral,Reflective,Human Nature,Anytime Wisdom,63,4.7,"Even the most unlikely individuals do too have a story to tell; If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key; Time and time again I watch individuals bully others with none intervening - why?","Wherefore dost thou forget us for ever, and forsake us so long time?",Lamentations 5:20
We are made of blackstuff,General,Neutral,Reflective,General,Anytime Wisdom,25,1.9,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values",Our skin was black like an oven because of the terrible famine.,Lamentations 5:10
In every lifetime you may be so lucky to witness pride and arrogance of royalty partake in warfare - make the best of such instances,General,Neutral,Reflective,General,Anytime Wisdom,132,9.9,Scalp hair is such a beautiful gift to some so make the best out of it; Everyone's lifetime/cycle is different - have you planned ahead?; If bored try to make it an objective to make someone happy and see how that feels,"Likewise shall the ladies of Persia and Media say this day unto all the king’s princes, which have heard of the deed of the queen. Thus shall there arise too much contempt and wrath.",Esther 1:18
Cling to your dignity otherwise you shall become generic,General,Neutral,Reflective,General,Anytime Wisdom,56,4.2,Treating someone with no dignity in respect can make them ponder; If anything can go wrong rest assured it shall not always or ever be so; Once a lesson is learnt it is not always warranted a mistake shall not be repeated,But shun profane and vain babblings: for they will increase unto more ungodliness.,II Timothy 2:16
A good imagination is the best escape from poverty,General,Neutral,Reflective,Creativity,Anytime Wisdom,50,3.8,With a good imagination not only can you take a guess at the future but you can shape it; Imagination well used may be better than reading a good book; You may not realise the face of poverty until it comes to you,Remove far from me vanity and lies: give me neither poverty nor riches; feed me with food convenient for me:,Proverbs 30:8
"Isolation fosters happiness to some, but misleading is this to those that understand not the incumbent's true hidden psyche",General,Uplifting,Reflective,General,Anytime Wisdom,123,9.2,Happiness is being in harmony; Happiness arises when one frees him/herself from worries - worry not about imperfections and instead capitalize on the true beauty of them; True friends will take a stab for you,Likewise also the good works of some are manifest beforehand; and they that are otherwise cannot be hid. ,I Timothy 5:25
Having an idol is merely associating your identity to the admiration of another,Identity,Neutral,Reflective,General,Anytime Wisdom,79,5.9,If you loathe an idol try to understand why others love him/her so dearly; Grow to love your identity; Respect and admiration for a different culture does not label you a traitor,"What say I then? that the idol is any thing, or that which is offered in sacrifice to idols is any thing?",I Corinthians 10:19
When all science one day gets defined philosophy will erupt into story telling,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,There is always a place for you in a story; If someone has been telling you his/her same problems for years then do something; The world is strange as no one gets envious if you are last,"So teach us to number our days, that we may apply our hearts unto wisdom.",Psalms 90:12
The devil in you seeks power for your own pleasure,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,50,3.8,Never underestimate the power of dreams; Believe in the power of good because there is not much else to rely on; War for power never works,"And the devil said unto him, All this power will I give thee, and the glory of them: for that is delivered unto me; and to whomsoever I will I give it.",Luke 4:6
It is awareness of the appreciation of the tiniest things in one that builds kinship,General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,Being humble enhances the appreciation for the finer things - all in time; Wars occur over the tiniest conflicts; Persistence is not always a good choice but it builds character,"That their hearts might be comforted, being knit together in love, and unto all riches of the full assurance of understanding, to the acknowledgement of the mystery of God, and of the Father, and of Christ;",Colossians 2:2
Thinking of profanity can be dehumanizing,General,Neutral,Reflective,General,Anytime Wisdom,41,3.1,Overanalysing is dehumanizing to most; Hilarity and humour is dehumanizing if done to excess; Thinking the world as a pyramid in power will lead to hurt,Whose mouth is full of cursing and bitterness:,Romans 3:14
Believe in the Jack,General,Neutral,Inspirational,General,Anytime Wisdom,19,1.4,"Believe only those that give all the indication to know better to you; Believe in the power of good because there is not much else to rely on; Believe in yourself, but if unable to do so at times then rely on others","But if I do, though ye believe not me, believe the works: that ye may know, and believe, that the Father is in me, and I in him.",John 10:38
Stupid things we do can turn into great tales,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,Just because someone doesn't work does not mean they are stupid; Grown up fairy tales can be understood on so many different levels; Never encourage stupid behaviour unless certain of its good benefits,"For we have not followed cunningly devised fables, when we made known unto you the power and coming of our Lord Jesus Christ, but were eyewitnesses of his majesty.",II Peter 1:16
Learning from mistakes cuts short one side of our life,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,Learning without thought means hardship is spared - thought without learning is circular; Senryu truly ought never be too short; Learning from history is the quickest way to wisdom,"Get wisdom, get understanding: forget it not; neither decline from the words of my mouth.",Proverbs 4:5
Trust in the Irishman when he assaults your partner,General,Neutral,Reflective,General,Anytime Wisdom,51,3.8,Never fully trust someone without noble values; Trust your intuition above others if better educated and life experienced; Compare yourself to others only in a noble and just manner - lest you create envy in others,"Though he slay me, yet will I trust in him: but I will maintain mine own ways before him.",Job 13:15
"However bad things may become, after experiencing downfall once it can all be again",General,Neutral,Reflective,General,Anytime Wisdom,83,6.2,If things feel bad realize worse emotions exist; Philosophy is not just about words but experiencing sensations not known; If you learn how to truly understand ‘hurt' without experiencing it then do share the art,Destruction and misery are in their ways:,Romans 3:16
Never let imagination control your reasoning,General,Neutral,Advisory,Creativity,Anytime Wisdom,44,3.3,"Do not let superstition control your life, instead learn to appreciate it; A good imagination is the best escape from poverty; With a good imagination not only can you take a guess at the future but you can shape it","Behold, I know your thoughts, and the devices which ye wrongfully imagine against me.",Job 21:27
A bully is usually very well remembered and tainted - challenged are they,General,Neutral,Reflective,General,Anytime Wisdom,73,5.5,A noble belief is usually for a good cause; Olfactory senses are usually underappreciated; Time and time again I watch individuals bully others with none intervening - why?,Whose mouth is full of cursing and bitterness:,Romans 3:14
Ils ne passeront pas!,General,Neutral,Reflective,General,Anytime Wisdom,21,1.6,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values","Hezrai the Carmelite, Paarai the Arbite,",II Samuel 23:35
Respect for the decease is greatly gained by familiarity of the incumbent,General,Neutral,Reflective,General,Anytime Wisdom,73,5.5,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Respect other's sanctity of being","Let the elders that rule well be counted worthy of double honour, especially they who labour in the word and doctrine.",I Timothy 5:17
Ynough! Ynow!,General,Neutral,Reflective,General,Daily Motivation,13,1.0,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values","That ye may suck, and be satisfied with the breasts of her consolations; that ye may milk out, and be delighted with the abundance of her glory.",Isaiah 66:11
Speak highly of your friends because it reflect your own self ultimately,General,Neutral,Reflective,Human Nature,Evening Reflection,72,5.4,Without friends nothing would ever get done - ultimately...; True friends will take a stab for you; Good friends ‘may' think alike,"Trust ye not in a friend, put ye not confidence in a guide: keep the doors of thy mouth from her that lieth in thy bosom.",Micah 7:5
An assortment of folderals can instil a particular aura of character,General,Neutral,Reflective,General,Anytime Wisdom,68,5.1,The best people in the world are not full of money but have character; Persistence is not always a good choice but it builds character; Deforming your innate character for the better will add a history of hurt,"(Yea, a sword shall pierce through thy own soul also,) that the thoughts of many hearts may be revealed.",Luke 2:35
"Write or read, but at least a bit a day, for it fosters creativity",General,Neutral,Reflective,General,Anytime Wisdom,66,5.0,"Some individuals are easy to read, others impossible, either way familiarisation is a must; Don't believe everything you read but don't mock just about everything either; Classical poetry is devoid of creativity simply because we grow accustomed to it","And further, by these, my son, be admonished: of making many books there is no end; and much study is a weariness of the flesh.",Ecclesiastes 12:12
Vendettas are useless when quarantine is better,General,Neutral,Reflective,General,Anytime Wisdom,47,3.5,"Paranoia is useless, it is called being cautious - learn to communicate and it goes away; Believe only those that give all the indication to know better to you; We can appreciate food better if we know what we are eating",They also that render evil for good are mine adversaries; because I follow the thing that good is.,Psalms 38:20
If you learn how to truly understand ‘hurt' without experiencing it then do share the art,General,Neutral,Reflective,General,Anytime Wisdom,89,6.7,Art is now a luxury of which all can afford but still few understand; Learn what reason is; A work of art is only truly finished upon the culmination of the artist's life complete,"Let them be ashamed and confounded that seek after my soul: let them be turned backward, and put to confusion, that desire my hurt.",Psalms 70:2
"It is a valuable lesson to ponder deeply about the value of humanity, and what is not",General,Neutral,Reflective,General,Anytime Wisdom,85,6.4,"You may not think yourself evil, but ponder every time you put yourself ahead; Understanding the value of sentience gives us something to fight for; Treating someone with no dignity in respect can make them ponder","For what shall it profit a man, if he shall gain the whole world, and lose his own soul?",Mark 8:36
"Relinquish not your desired identity, and instead improve on it when you can",Identity,Neutral,Reflective,General,Anytime Wisdom,76,5.7,Grow to love your identity; If you seek something but cannot find then try asking instead; Try not to worry but strive for your identity,"But I beseech you the rather to do this, that I may be restored to you the sooner.",Hebrews 13:19
Art is now a luxury of which all can afford but still few understand,General,Neutral,Reflective,General,Daily Motivation,68,5.1,"If you learn how to truly understand ‘hurt' without experiencing it then do share the art; Art is an aphrodisiac of the soul; Eating together on one table, as a family, is a luxury a wide number do not have","Many of them also which used curious arts brought their books together, and burned them before all men: and they counted the price of them, and found it fifty thousand pieces of silver.",Acts 19:19
Spread happiness everywhere you go and if incapable than at least do something nice,General,Uplifting,Reflective,General,Anytime Wisdom,83,6.2,Happiness is being in harmony; If incapable to make a difference project your sheer spirit; This world would not have happiness without entertainers,Let all your things be done with charity.,I Corinthians 16:14
A habit well developed can lead you places,General,Neutral,Reflective,General,Anytime Wisdom,42,3.2,Abusing anything too much will lead to hazards; Get in the habit of doing some good deeds every once in a while at least - good happens; Thinking the world as a pyramid in power will lead to hurt,"Because my people hath forgotten me, they have burned incense to vanity, and they have caused them to stumble in their ways from the ancient paths, to walk in paths, in a way not cast up;",Jeremiah 18:15
Keep in communication with your family because people change fast,General,Neutral,Reflective,Human Nature,Anytime Wisdom,65,4.9,"Fast food ought to be just that, fast; Eating together on one table, as a family, is a luxury a wide number do not have; The inner being may be hard to change, in some cases impossible",Keep thy heart with all diligence; for out of it are the issues of life.,Proverbs 4:23
If someone behaves ‘strangely' don't just get others involved but check them over time,General,Neutral,Reflective,General,Anytime Wisdom,86,6.5,Don't believe everything you read but don't mock just about everything either; Everyone has problems; some just don't know what theirs is yet; Don't mess with what you don't quite understand,"And a stranger will they not follow, but will flee from him: for they know not the voice of strangers.",John 10:5
If injured by accident don't lay a guilt trip,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,"Don't mess with what you don't quite understand; Don't believe everything you read but don't mock just about everything either; All accidents are caused, on lesse an accident happen","Brethren, if a man be overtaken in a fault, ye which are spiritual, restore such an one in the spirit of meekness; considering thyself, lest thou also be tempted.",Galatians 6:1
Art is an aphrodisiac of the soul,General,Neutral,Reflective,General,Spiritual Prompt,33,2.5,"Of course some genes may ‘seem' better, but what of mind, spirit, and soul; Art is now a luxury of which all can afford but still few understand; Expressing how you feel with words is an art that has to be well played","I have seen all the works that are done under the sun; and, behold, all is vanity and vexation of spirit.",Ecclesiastes 1:14
Social networks are useful to let others reach out to you,General,Neutral,Reflective,Life Advice,Anytime Wisdom,57,4.3,If it is imperative that you reach someone then be sure there is always a way; Well placed social catalysts can stop all wars; Learn to ‘let go' when time mandates it so,"Brethren, be followers together of me, and mark them which walk so as ye have us for an ensample.",Philippians 3:17
A great deal can be learnt from alternative faiths,Faith,Neutral,Inspirational,Spirituality,Anytime Wisdom,50,3.8,Once a lesson is learnt it is not always warranted a mistake shall not be repeated; So much joy in faiths that are good hearted provided you believe and fit in it; With many alternative therapies for mental ailments; the trick is finding one that fits you,"What doth it profit, my brethren, though a man say he hath faith, and have not works? can faith save him?",James 2:14
"It is fun to pick on stereotypes and clashes of cultures, but its best to be mindful",Humor,Neutral,Reflective,General,Lighthearted Moment,84,6.3,"It is always fun helping; Racial equality would eliminate most beauty stereotypes; Stereotypes are mostly erroneous and leads to demise, on lesse you get psychological",Mine heritage is unto me as a lion in the forest; it crieth out against me: therefore have I hated it.,Jeremiah 12:8
"No man can remain unemployed for a long period, with no love, and not lose his mind",Love,Neutral,Reflective,Relationships,Anytime Wisdom,83,6.2,A man can be happy with any woman provided all his love needs are met; Better to express the idea well and risk being a fool than remain without vote; The empires of the present are encumbered by the mind,The desire of a man is his kindness: and a poor man is better than a liar.,Proverbs 19:22
Devotion to a cause gives one purpose like none other,General,Neutral,Reflective,General,Anytime Wisdom,53,4.0,How daft does someone have to be to live without purpose?; Pray like you mean it; If your cause is fair then there is always a way,"Follow after charity, and desire spiritual gifts, but rather that ye may prophesy.",I Corinthians 14:1
Sport can only truly be enjoyed if one has friends who are eager for it also,General,Uplifting,Reflective,Human Nature,Anytime Wisdom,76,5.7,Without friends nothing would ever get done - ultimately...; True friends will take a stab for you; Good friends ‘may' think alike,"So is the man that deceiveth his neighbour, and saith, Am not I in sport?",Proverbs 26:19
Think deeply at the number of close friends you have and now realise how isolated you are within the context of the whole wide world,General,Neutral,Reflective,Human Nature,Daily Motivation,132,9.9,"Eating together on one table, as a family, is a luxury a wide number do not have; Good friends ‘may' think alike; Without friends nothing would ever get done - ultimately...","The strangers shall fade away, and be afraid out of their close places.",Psalms 18:45
In this new age if you truly want to reach out for help be inventive with the WWW,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,Help others find love that need it so; If you reach dire old age you still do have a chance to travel in style - worry not if unable; You can't learn something new from just about anything,Thus saith the Lord God; I will therefore spread out my net over thee with a company of many people; and they shall bring thee up in my net.,Ezekiel 32:3
